uniqser,Date,RansomWare,Malware,DoS,Hacking,Impersonation,Phishing,UnauthorisedAccess,UnauthorisedAccessExternal,Other,UnauthorisedAccessTudents,MiTM,AccountTakeOver
1008,2017-01-01 00:00:00,,,,,,,,,,,,
1009,2017-01-01 00:00:00,,,,,,,,,,,,
1010,2017-01-01 00:00:00,Computers becoming infected with ransomware,Computers becoming infected with other malware (e.g. viruses or spyware),,,People impersonating your organisation in emails or online,,,,,,,
1011,2017-01-01 00:00:00,,Computers becoming infected with other malware (e.g. viruses or spyware),,,,,,,,,,
1012,2017-01-01 00:00:00,,,,,,,,,,,,
1013,2017-01-01 00:00:00,Computers becoming infected with ransomware,Computers becoming infected with other malware (e.g. viruses or spyware),,,People impersonating your organisation in emails or online,Phishing attacks,,,,,,
1014,2017-01-01 00:00:00,,,,,,,,,,,,
1015,2017-01-01 00:00:00,,Computers becoming infected with other malware (e.g. viruses or spyware),,,,Phishing attacks,,,,,,
1016,2017-01-01 00:00:00,Computers becoming infected with ransomware,Computers becoming infected with other malware (e.g. viruses or spyware),Denial of service attacks,,,Phishing attacks,,,Any other types of cyber security breaches or attacks,,,
1017,2017-01-01 00:00:00,,,,,,,,,,,,
1018,2017-01-01 00:00:00,,,,,,,,,,,,
1019,2017-01-01 00:00:00,,Computers becoming infected with other malware (e.g. viruses or spyware),,,,Phishing attacks,,,,,,
1020,2017-01-01 00:00:00,Computers becoming infected with ransomware,Computers becoming infected with other malware (e.g. viruses or spyware),,,,Phishing attacks,,,,,,
1021,2017-01-01 00:00:00,,,,,,,"Unauthorised accessing of files or networks by staff, even if accidental",,,,,
1022,2017-01-01 00:00:00,,Computers becoming infected with other malware (e.g. viruses or spyware),,,,,,,,,,
1023,2017-01-01 00:00:00,,Computers becoming infected with other malware (e.g. viruses or spyware),,,,Phishing attacks,,,,,,
1024,2017-01-01 00:00:00,,,,,,,,,,,,
1025,2017-01-01 00:00:00,,,,,,,,,,,,
1026,2017-01-01 00:00:00,,,,,,,,,,,,
1027,2017-01-01 00:00:00,,Computers becoming infected with other malware (e.g. viruses or spyware),,,People impersonating your organisation in emails or online,Phishing attacks,,,,,,
1028,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1029,2017-01-01 00:00:00,,,,,,,,,,,,
1030,2017-01-01 00:00:00,,,,,,,,,,,,
1031,2017-01-01 00:00:00,Computers becoming infected with ransomware,Computers becoming infected with other malware (e.g. viruses or spyware),Denial of service attacks,,People impersonating your organisation in emails or online,Phishing attacks,"Unauthorised accessing of files or networks by staff, even if accidental",Unauthorised accessing of files or network by people outside your organisation,,,,
1032,2017-01-01 00:00:00,Computers becoming infected with ransomware,,,,,Phishing attacks,"Unauthorised accessing of files or networks by staff, even if accidental",,,,,
1033,2017-01-01 00:00:00,Computers becoming infected with ransomware,,,,,,,,,,,
1034,2017-01-01 00:00:00,,,,,,,,,,,,
1035,2017-01-01 00:00:00,,,,,,,,,Any other types of cyber security breaches or attacks,,,
1036,2017-01-01 00:00:00,,Computers becoming infected with other malware (e.g. viruses or spyware),,,,Phishing attacks,,,,,,
1037,2017-01-01 00:00:00,,,,,,,,,,,,
1038,2017-01-01 00:00:00,,,,,,,,,,,,
1039,2017-01-01 00:00:00,,Computers becoming infected with other malware (e.g. viruses or spyware),,,People impersonating your organisation in emails or online,,,,,,,
1040,2017-01-01 00:00:00,,,,,,,,,,,,
1041,2017-01-01 00:00:00,Computers becoming infected with ransomware,,,,,,,,,,,
1042,2017-01-01 00:00:00,,Computers becoming infected with other malware (e.g. viruses or spyware),Denial of service attacks,,,,,,,,,
1043,2017-01-01 00:00:00,,,,,,,,,,,,
1044,2017-01-01 00:00:00,,,,,,,,,,,,
1045,2017-01-01 00:00:00,Computers becoming infected with ransomware,Computers becoming infected with other malware (e.g. viruses or spyware),,,People impersonating your organisation in emails or online,Phishing attacks,,Unauthorised accessing of files or network by people outside your organisation,,,,
1046,2017-01-01 00:00:00,,,Denial of service attacks,,People impersonating your organisation in emails or online,Phishing attacks,"Unauthorised accessing of files or networks by staff, even if accidental",Unauthorised accessing of files or network by people outside your organisation,Any other types of cyber security breaches or attacks,,,
1047,2017-01-01 00:00:00,,,,,,,,,,,,
1048,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1049,2017-01-01 00:00:00,,,,,,,,,,,,
1050,2017-01-01 00:00:00,,Computers becoming infected with other malware (e.g. viruses or spyware),,,People impersonating your organisation in emails or online,Phishing attacks,,,,,,
1051,2017-01-01 00:00:00,,,,,,,,,,,,
1052,2017-01-01 00:00:00,,,,Hacking or attempted hacking of online bank accounts,People impersonating your organisation in emails or online,Phishing attacks,,,,,,
1053,2017-01-01 00:00:00,,Computers becoming infected with other malware (e.g. viruses or spyware),,,,Phishing attacks,,,,,,
1054,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1055,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1056,2017-01-01 00:00:00,Computers becoming infected with ransomware,,,,,Phishing attacks,,,,,,
1057,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1058,2017-01-01 00:00:00,Computers becoming infected with ransomware,Computers becoming infected with other malware (e.g. viruses or spyware),,,People impersonating your organisation in emails or online,Phishing attacks,,Unauthorised accessing of files or network by people outside your organisation,Any other types of cyber security breaches or attacks,,,
1059,2017-01-01 00:00:00,,,,,,,,,,,,
1060,2017-01-01 00:00:00,,,,,,,,,,,,
1061,2017-01-01 00:00:00,,Computers becoming infected with other malware (e.g. viruses or spyware),,,,,,,,,,
1062,2017-01-01 00:00:00,,,,,,Phishing attacks,,,,,,
1063,2017-01-01 00:00:00,,,,,,,,,,,,
1064,2017-01-01 00:00:00,,,,,,,,,,,,
1065,2017-01-01 00:00:00,,,,,,,,,,,,
1066,2017-01-01 00:00:00,,,,,People impersonating your organisation in emails or online,Phishing attacks,,,,,,
1067,2017-01-01 00:00:00,,,,,,,,,,,,
1068,2017-01-01 00:00:00,,,,,,,,,,,,
