Breach Submission Date,Attack Type
2022-12-29,Unauthorized Access/Disclosure
2022-12-29,Unauthorized Access/Disclosure
2022-12-14,Theft
2022-12-08,Hacking/IT Incident
2022-11-29,Unauthorized Access/Disclosure
2022-11-17,Unauthorized Access/Disclosure
2022-11-14,Unauthorized Access/Disclosure
2022-11-07,Unauthorized Access/Disclosure
2022-11-07,Ransomware
2022-11-07,Ransomware
2022-10-31,Ransomware
2022-10-31,Unauthorized Access/Disclosure
2022-10-28,Ransomware
2022-10-28,Hacking/IT Incident
2022-10-25,Hacking
2022-10-24,Ransomware
2022-10-24,Hacking/IT Incident
2022-10-24,Ransomware
2022-10-24,Ransomware
2022-10-24,Ransomware
2022-10-24,Ransomware
2022-10-24,Hacking/IT Incident
2022-10-21,Hacking/IT Incident
2022-10-20,Theft
2022-10-20,Unauthorized Access/Disclosure
2022-10-14,Unauthorized Access/Disclosure
2022-10-14,Loss
2022-10-07,Unauthorized Access/Disclosure
2022-10-05,Hacking/IT Incident
2022-09-30,Ransomware
2022-09-30,Ransomware
2022-09-30,Phishing
2022-09-26,Hacking/IT Incident
2022-09-26,Phishing
2022-09-26,Loss
2022-09-23,Ransomware
2022-09-23,Ransomware
2022-09-23,Ransomware
2022-09-23,Ransomware
2022-09-23,Ransomware
2022-09-23,Ransomware
2022-09-23,Ransomware
2022-09-23,Ransomware
2022-09-23,Ransomware
2022-09-23,Ransomware
2022-09-23,Ransomware
2022-09-23,Ransomware
2022-09-23,Phishing
2022-09-21,Hacking/IT Incident
2022-09-19,Phishing
2022-09-16,Phishing
2022-09-09,Unauthorized Access/Disclosure
2022-09-09,Unauthorized Access/Disclosure
2022-09-09,Hacking/IT Incident
2022-09-09,Ransomware
2022-09-08,Loss
2022-09-08,Hacking/IT Incident
2022-09-02,Hacking/IT Incident
2022-09-02,Hacking/IT Incident
2022-09-02,Hacking/IT Incident
2022-09-02,Unauthorized Access/Disclosure
2022-08-25,Ransomware
2022-08-25,Ransomware
2022-08-25,Ransomware
2022-08-23,Phishing
2022-08-22,Hacking/IT Incident
2022-08-19,Unauthorized Access/Disclosure
2022-08-17,Ransomware
2022-08-14,Unauthorized Access/Disclosure
2022-08-14,Unauthorized Access/Disclosure
2022-08-12,Phishing
2022-08-12,Hacking/IT Incident
2022-08-12,Hacking/IT Incident
2022-08-12,Phishing
2022-08-09,Unauthorized Access/Disclosure
2022-08-05,Phishing
2022-08-03,Unauthorized Access/Disclosure
2022-08-02,Hacking/IT Incident
2022-08-02,Phishing
2022-08-01,Phishing
2022-08-01,Loss
2022-08-01,Hacking/IT Incident
