Year,no_of_attacks
2014-01-31,36.0
2014-02-28,24.0
2014-03-31,34.0
2014-04-30,38.0
2014-05-31,16.0
2014-06-30,23.0
2014-07-31,23.0
2014-08-31,33.0
2014-09-30,24.0
2014-10-31,29.0
2014-11-30,18.0
2014-12-31,16.0
2015-01-31,19.0
2015-02-28,16.0
2015-03-31,32.0
2015-04-30,35.0
2015-05-31,18.0
2015-06-30,22.0
2015-07-31,26.0
2015-08-31,20.0
2015-09-30,20.0
2015-10-31,24.0
2015-11-30,14.0
2015-12-31,24.0
2016-01-31,35726.0
2016-02-29,35737.0
2016-03-31,35741.0
2016-04-30,35746.0
2016-05-31,35742.0
2016-06-30,35735.0
2016-07-31,35739.0
2016-08-31,35738.0
2016-09-30,35747.0
2016-10-31,35738.0
2016-11-30,35751.0
2016-12-31,35745.0
2017-01-31,38156.0
2017-02-28,38154.0
2017-03-31,38160.0
2017-04-30,38157.0
2017-05-31,38153.0
2017-06-30,38164.0
2017-07-31,38160.0
2017-08-31,38158.0
2017-09-30,38169.0
2017-10-31,38156.0
2017-11-30,38151.0
2017-12-31,38168.0
2018-01-31,38940.0
2018-02-28,38941.0
2018-03-31,38949.0
2018-04-30,38959.0
2018-05-31,38949.0
2018-06-30,38949.0
2018-07-31,38950.0
2018-08-31,38948.0
2018-09-30,38942.0
2018-10-31,38950.0
2018-11-30,38953.0
2018-12-31,38943.0
2019-01-31,26096.0
2019-02-28,26094.0
2019-03-31,26096.0
2019-04-30,26111.0
2019-05-31,26112.0
2019-06-30,26091.0
2019-07-31,26120.0
2019-08-31,26111.0
2019-09-30,26100.0
2019-10-31,26114.0
2019-11-30,26097.0
2019-12-31,26102.0
2020-01-31,31584.0
2020-02-29,31582.0
2020-03-31,31577.0
2020-04-30,31576.0
2020-05-31,31567.0
2020-06-30,31594.0
2020-07-31,31577.0
2020-08-31,31574.0
2020-09-30,31642.0
2020-10-31,31617.0
2020-11-30,31588.0
2020-12-31,31604.0
2021-01-31,1457.0
2021-02-28,1470.0
2021-03-31,1493.0
2021-04-30,1492.0
2021-05-31,1488.0
2021-06-30,1493.0
2021-07-31,1490.0
2021-08-31,1449.0
2021-09-30,1454.0
2021-10-31,1471.0
2021-11-30,1464.0
2021-12-31,1456.0
2022-01-31,1712.0
2022-02-28,27.0
2022-03-31,15.0
2022-04-30,24.0
2022-05-31,36.0
2022-06-30,41.0
2022-07-31,29.0
2022-08-31,21.0
2022-09-30,32.0
2022-10-31,19.0
2022-11-30,6.0
2022-12-31,4.0
