Year,no_of_attacks,boxcox_transformed
2014-01-31,36.0,5.0975188197321
2014-02-28,24.0,4.336022362527307
2014-03-31,34.0,4.986655531652816
2014-04-30,38.0,5.2034788887672665
2014-05-31,16.0,3.629943663419691
2014-06-30,23.0,4.259377980225821
2014-07-31,23.0,4.259377980225821
2014-08-31,33.0,4.9292210678453285
2014-09-30,24.0,4.336022362527307
2014-10-31,29.0,4.684280705710221
2014-11-30,18.0,3.829583198935868
2014-12-31,16.0,3.629943663419691
2015-01-31,19.0,3.9227036348698094
2015-02-28,16.0,3.629943663419691
2015-03-31,32.0,4.870352583306308
2015-04-30,35.0,5.042731582940587
2015-05-31,18.0,3.829583198935868
2015-06-30,22.0,4.179972447139467
2015-07-31,26.0,4.48182604052754
2015-08-31,20.0,4.011918009658416
2015-09-30,20.0,4.011918009658416
2015-10-31,24.0,4.336022362527307
2015-11-30,14.0,3.40884807152502
2015-12-31,24.0,4.336022362527307
2016-01-31,35726.0,32.48862071321634
2016-02-29,35737.0,32.49079244887953
2016-03-31,35741.0,32.491582036088666
2016-04-30,35746.0,32.49256891899667
2016-05-31,35742.0,32.49177942165648
2016-06-30,35735.0,32.49039762830902
2016-07-31,35739.0,32.49118725147214
2016-08-31,35738.0,32.490989852422956
2016-09-30,35747.0,32.49276628210008
2016-10-31,35738.0,32.490989852422956
2016-11-30,35751.0,32.493555689594096
2016-12-31,35745.0,32.49237155140082
2017-01-31,38156.0,32.95568095383994
2017-02-28,38154.0,32.955306623435675
2017-03-31,38160.0,32.95642956675706
2017-04-30,38157.0,32.95586811305537
2017-05-31,38153.0,32.95511945224646
2017-06-30,38164.0,32.95717811582908
2017-07-31,38160.0,32.95642956675706
2017-08-31,38158.0,32.9560552682799
2017-09-30,38169.0,32.958113712405435
2017-10-31,38156.0,32.95568095383994
2017-11-30,38151.0,32.95474509789288
2017-12-31,38168.0,32.957926601068145
2018-01-31,38940.0,33.10120379287894
2018-02-28,38941.0,33.10138788036214
2018-03-31,38949.0,33.102860441773856
2018-04-30,38959.0,33.10470079750594
2018-05-31,38949.0,33.102860441773856
2018-06-30,38949.0,33.102860441773856
2018-07-31,38950.0,33.10304449464627
2018-08-31,38948.0,33.10267638505652
2018-09-30,38942.0,33.10157196399898
2018-10-31,38950.0,33.10304449464627
2018-11-30,38953.0,33.10359663019578
2018-12-31,38943.0,33.101756043789635
2019-01-31,26096.0,30.336491808656724
2019-02-28,26094.0,30.335981888195853
2019-03-31,26096.0,30.336491808656724
2019-04-30,26111.0,30.340315198898594
2019-05-31,26112.0,30.34057002803362
2019-06-30,26091.0,30.335216947876056
2019-07-31,26120.0,30.34260837530782
2019-08-31,26111.0,30.340315198898594
2019-09-30,26100.0,30.337511554192805
2019-10-31,26114.0,30.3410796624832
2019-11-30,26097.0,30.336746756963123
2019-12-31,26102.0,30.338021379276846
2020-01-31,31584.0,31.629239821344513
2020-02-29,31582.0,31.62880325110767
2020-03-31,31577.0,31.627711727092773
2020-04-30,31576.0,31.627493405414718
2020-05-31,31567.0,31.625528257113572
2020-06-30,31594.0,31.631422335188805
2020-07-31,31577.0,31.627711727092773
2020-08-31,31574.0,31.627056745180965
2020-09-30,31642.0,31.641890584332756
2020-10-31,31617.0,31.636439984784356
2020-11-30,31588.0,31.630112894342457
2020-12-31,31604.0,31.633604287036633
2021-01-31,1457.0,15.487432598356943
2021-02-28,1470.0,15.521980903163435
2021-03-31,1493.0,15.58250048944063
2021-04-30,1492.0,15.579885031785716
2021-05-31,1488.0,15.569408916731705
2021-06-30,1493.0,15.58250048944063
2021-07-31,1490.0,15.574649834622337
2021-08-31,1449.0,15.466047243960732
2021-09-30,1454.0,15.479424312688407
2021-10-31,1471.0,15.524628154455904
2021-11-30,1464.0,15.506066552937327
2021-12-31,1456.0,15.484764661746766
2022-01-31,1712.0,16.123706970809387
2022-02-28,27.0,4.55133093819418
2022-03-31,15.0,3.522396498651605
2022-04-30,24.0,4.336022362527307
2022-05-31,36.0,5.0975188197321
2022-06-30,41.0,5.3542109726243226
2022-07-31,29.0,4.684280705710221
2022-08-31,21.0,4.097573716301074
2022-09-30,32.0,4.870352583306308
2022-10-31,19.0,3.9227036348698094
2022-11-30,6.0,2.1271586187407863
2022-12-31,4.0,1.581829553416264
