Year,no_of_attacks
2017-01-31,2416
2017-02-28,2416
2017-03-31,2416
2017-04-30,2416
2017-05-31,2416
2017-06-30,2416
2017-07-31,2416
2017-08-31,2416
2017-09-30,2416
2017-10-31,2416
2017-11-30,2416
2017-12-31,2416
2018-01-31,3204
2018-02-28,3204
2018-03-31,3204
2018-04-30,3204
2018-05-31,3204
2018-06-30,3204
2018-07-31,3204
2018-08-31,3204
2018-09-30,3204
2018-10-31,3204
2018-11-30,3204
2018-12-31,3204
2019-01-31,2464
2019-02-28,2464
2019-03-31,2464
2019-04-30,2464
2019-05-31,2464
2019-06-30,2464
2019-07-31,2464
2019-08-31,2464
2019-09-30,2464
2019-10-31,2464
2019-11-30,2464
2019-12-31,2464
2020-01-31,385
2020-02-29,385
2020-03-31,385
2020-04-30,385
2020-05-31,385
2020-06-30,385
2020-07-31,385
2020-08-31,385
2020-09-30,385
2020-10-31,385
2020-11-30,385
2020-12-31,385
2021-01-31,372
2021-02-28,372
2021-03-31,372
2021-04-30,372
2021-05-31,372
2021-06-30,372
2021-07-31,372
2021-08-31,372
2021-09-30,372
2021-10-31,372
2021-11-30,372
2021-12-31,372
2022-01-31,856
