Year,no_of_attacks
2014-01-31,36
2014-02-28,24
2014-03-31,34
2014-04-30,38
2014-05-31,16
2014-06-30,23
2014-07-31,23
2014-08-31,33
2014-09-30,24
2014-10-31,29
2014-11-30,18
2014-12-31,16
2015-01-31,19
2015-02-28,16
2015-03-31,32
2015-04-30,35
2015-05-31,18
2015-06-30,22
2015-07-31,26
2015-08-31,20
2015-09-30,20
2015-10-31,24
2015-11-30,14
2015-12-31,24
2016-01-31,13
2016-02-29,24
2016-03-31,28
2016-04-30,33
2016-05-31,29
2016-06-30,22
2016-07-31,26
2016-08-31,25
2016-09-30,34
2016-10-31,25
2016-11-30,38
2016-12-31,32
2017-01-31,27
2017-02-28,25
2017-03-31,31
2017-04-30,28
2017-05-31,24
2017-06-30,35
2017-07-31,31
2017-08-31,29
2017-09-30,40
2017-10-31,27
2017-11-30,22
2017-12-31,39
2018-01-31,23
2018-02-28,24
2018-03-31,32
2018-04-30,42
2018-05-31,32
2018-06-30,32
2018-07-31,33
2018-08-31,31
2018-09-30,25
2018-10-31,33
2018-11-30,36
2018-12-31,26
2019-01-31,35
2019-02-28,33
2019-03-31,35
2019-04-30,50
2019-05-31,51
2019-06-30,30
2019-07-31,59
2019-08-31,50
2019-09-30,39
2019-10-31,53
2019-11-30,36
2019-12-31,41
2020-01-31,49
2020-02-29,47
2020-03-31,42
2020-04-30,41
2020-05-31,32
2020-06-30,59
2020-07-31,42
2020-08-31,39
2020-09-30,107
2020-10-31,82
2020-11-30,53
2020-12-31,69
2021-01-31,36
2021-02-28,49
2021-03-31,72
2021-04-30,71
2021-05-31,67
2021-06-30,72
2021-07-31,69
2021-08-31,28
2021-09-30,33
2021-10-31,50
2021-11-30,43
2021-12-31,35
2022-01-31,31
2022-02-28,27
2022-03-31,15
2022-04-30,24
2022-05-31,36
2022-06-30,41
2022-07-31,29
2022-08-31,21
2022-09-30,32
2022-10-31,19
2022-11-30,6
2022-12-31,4
